name,address,founded,description,classification
Mysocialbites,60 Turnpike Link Croydon ,2018,"A groundbreaking social media platform that revolutionizes the way you connect, communicate, and express yourself in the digital realm.",Technology
narad.io,-,2024,"narad is a SaaS based Intranet software application, built specifically to cater to the internal communication and operational needs of Growing Companies.What is Intranet?Information we put on Internet is outward facing, for clients and outsiders. But, not everything needs to go Internet, some information is only for internal team and that goes on Intranet. An Intranet is a centralized hub, used to securely share company information and resources among employees. It becomes the main repository where important information and company data are stored. It let employees easily access important information, links and applications.Intranet enables Collaboration, Communication and Transparency in the CompanyAshok Dudhat",Software
Xero,-,2006,"Xero is a global small business platform with 3.95 million subscribers which includes a core accounting solution, payroll, workforce management, expenses, and projects. We’re here to make running a business beautiful. By making small businesses more efficient every day, connecting them with big business technology and empowering the community behind them, their potential is limitless. When that happens, we’re not only helping small businesses, we’ll be building a stronger economy that can change the world.Offering very generous paid leave to use however you’d like (plus statutory holidays!), dedicated paid leave to care for your physical and mental well-being as well as an Employee Assistance Program to access mental health care for you and your family, private medical insurance, gym passes, employee resource groups, 26 weeks of paid parental leave for primary caregivers, an Employee Share Plan, beautiful offices, flexible working, and many other benefits that reflect our human value, you’ll do the best work of your life at Xero.Ashok Dudhat",Software
Eviden Austria,"Wagramer Str. 19, 1050 Vienna, Austria",,"Eviden is a next-gen technology leader in data-driven, trusted and sustainable digital transformation.With a strong portfolio of patented technologies and worldwide leading positions in advanced computing, security, AI, cloud and digital platforms, it provides deep expertise for all industries in more than 47 countries.Bringing together 53,000 world-class talents, Eviden expands the possibilities of data and technology across the digital continuum, now and for generations to come. Eviden is an Atos Group company with an annual revenue of over € 5 billion.Ashok Dudhat",Technology
StartSteps,"Rheinsbergerstr. 76/77, 10115 Berlin",2020,"If there’s one thing we’ve learned this year, it’s that the world is changing. And if you’ve found yourself changing with it, StartSteps is here to help find a direction that works for you.With our help, you can navigate the shifting worldscape by tapping into the wide and opportunity-filled tech ecosystem we know and love.We believe that changing directions doesn’t have to be daunting if your footsteps are guided by the right compass.Ashok Dudhat",Technology
Glocomms,"Phaidon International GmbH, Linkstraße 2, Berlin 10785, Deutschland",,"Glocomms is a leading talent partner in Technology, providing permanent, contract and multi-hire search solutions in Cloud & Infrastructure, Commercial Services, Cyber Security, Data & Analytics, Development & Engineering and Enterprise Solutions.Ashok Dudhat",Technology
Merantix Momentum,"Max-Urich-Straße 3, 13355 Berlin",2019,Our mission is to enable companies to unlock the value of artificial intelligence across all industries.Ashok Dudhat,Technology
TechBiz Global,"Fregestr. 38A, 12161, Berlin, Germany",2021,"TechBiz Global is a leading IT company. We provide IT recruitment, outstaffing, outsourcing, software development, and customized consulting services focused on making our partners achieve their recruitment goals successfully.At TechBiz Global, we celebrate diversity and promote an inclusive environment.We work with a diverse set of technologies and frameworks. Our international clients and partners are located around the world.Ashok Dudhat",Technology
Berlin Bytes GmbH,"Am Friedrichshain 1, 10407 Berlin",2016,"Berlin Bytes is an agency for diverse and unconventional minds who shape the way we design and develop. We offer full-cycle digital services – everything from Consulting/Research, UX/UI Design, Web Development, to Marketing and Product Ownership.We build cross-disciplinary relationships between each other and the people around us – that’s why we pick and work on projects that spark our curiosity. We’re invested in a diverse culture of mutual respect and offer an open-door environment where our team feels listened to and heard.At Berlin Bytes, we cultivate a collaborative atmosphere where we can maintain our integrity and inspire each other to create. With workflows that promote experimentation and challenges our learning curve, we navigate building better solutions. We treat each project as if it’s our very own, and this philosophy has led us to work with a range of clients, from Berlin’s upcoming fashion start-ups to large industrials.Ashok Dudhat",Technology
React Architect AI,cileria UG Koppenstrasse 28 10243 Berlin,2023,"React Architect AI fully automatically creates documentation and visualization of your React Project.Component DiagramAI explanations ofApplication StructureComponentsFunctionsProps-FlowExport your documentation to markdown and PNGNode Package Simple Example LibrarySupports all React-based projects, e.g. React Web, React Native, React Native Expo, and NextJSWe are happy to get in touch with you!Ashok Dudhat",Software
